name,address,phone,website,email,instagram,cuisine,opening_hours,lat,lon,osm_id
Frango,Amsterdam,,,,,,,52.353296,4.9027669,249628963
Kam Kee,"Ceintuurbaan 119, 1072EZ, Amsterdam",,,,,chinese,,52.3531295,4.892503,249628974
Vermeer,"Prins Hendrikkade 59-72, 1021AD, Amsterdam",+31 20 556 4885,https://www.restaurantvermeer.nl/,info@restaurantvermeer.nl,@restaurantvermeer,,We-Sa 18:00-20:30,52.3764859,4.9004724,251127910
Bravi Ragazzi,Amsterdam,,,,,,,52.3759544,4.8963754,251147176
Sweet Asia,Amsterdam,,,,,,"Mo,Tu,Th-Sa 12:30-21:30; Su 13:00-21:30",52.3631785,4.9290605,251150887
Nam Kee,"Geldersekade 117, 1011EN, Amsterdam",+31 20 639 2848,https://namkee.nl/,,,chinese;cantonese,Mo-Fr 16:00-23:30; Sa 14:30-23:30; Su 14:30-23:30,52.372991,4.9011953,251165503
Song Kwae,"Kloveniersburgwal 14, 1012CT, Amsterdam",,https://www.songkwae.nl,,,thai,,52.371915,4.8991163,251168505
A Fusion,Amsterdam,,,,,,"Mo-Th 16:00-22:30; Fr,Sa 12:00-23:15; Su 12:00-22:30",52.3732425,4.9001515,251177425
Nam Kee,"Zeedijk 111-113, 1012AV, Amsterdam",+31 20 624 3470,http://www.namkee.nl/,,,chinese;cantonese,Sun-Th 12:00-21:30; Fr-Sa 12:00-22:00,52.3737013,4.9003096,251177427
Ristorante Italiano Piccolo Mondo,Amsterdam,,,,,,,52.3740711,4.9017078,251177433
El Torado Grill,"Reguliersbreestraat 25, 1017CL, Amsterdam",+31 20 625 6600,https://eltorado.com/,,,argentinian;steak_house;burger,Mo-Su 12:00-00:00,52.3666908,4.8947159,251528277
De Jaren,"Nieuwe Doelenstraat 20, 1012CP, Amsterdam",,https://www.cafedejaren.nl,,,,Mo-Su 09:00-23:00,52.3680595,4.8953468,251823631
de Kluis,Amsterdam,,,,,,,52.371134,4.9117046,252143918
The Grasshopper,"Oudebrugsteeg 16, 1012JP, Amsterdam",+31 20 626 1259,https://www.thegrasshopper.nl,,,,,52.3754583,4.8974337,254039664
Java kitchen,Amsterdam,,,,,,,52.3526542,4.8889175,257441614
Goldcoast,"De corridor 2, 1101BD, Amsterdam",+31 20 567 2444,https://goldcoast-restaurant.nl/,,,,,52.3113257,4.9450524,263005477
Café-Restaurant Amsterdam,"Watertorenplein 6, 1051PA, Amsterdam",+31 20 682 2666,https://cradam.nl,,,,"Mo-Th,Su 10:30-00:00; Fr-Sa 10:30-01:00",52.3842205,4.8682145,283241256
Het Dorp,"Noordwal 1, 1021PX, Amsterdam",,https://www.hetdorp.amsterdam/,info@hetdorp.amsterdam,@hetdorp.amsterdam,,Th 16:00-24:00; Fr 16:00-01:00; Sa 14:00-01:00; Su 14:00-22:00,52.3811001,4.9128268,287295070
Cedars,"Heemstedestraat 80, 1058NP, Amsterdam",,https://www.cedars.nl,,,lebanese,Mo-Th 16:00-23:00; Fr 16:00-00:00; Sa 12:00-00:00; Su 12:00-23:00,52.3519506,4.8444223,287760322
Harbour Club Café,"Olympisch Stadion 35, 1076DE, Amsterdam",,https://theharbourclub.com/cafe-amsterdam,,,,,52.3424865,4.854536,302309462
Il Forno,Amsterdam,,,,,,Mo-Su 16:30-23:30,52.3689909,4.9217898,304076330
Waaghals,Amsterdam,+31 20 679 9609,https://waaghals.nl/,,,,,52.3571286,4.889014,305076371
Kikkie,"Prinsenstraat 30-H, 1015DD, Amsterdam",+31 20 224 6022,https://www.kikkie.amsterdam/,,,,"Mo-Th 12:00-24:00, Fr 12:00-02:00, Sa 11:00-02:00, Su 12:00-22:00",52.3780177,4.8865655,312068096
Bridges,"Oudezijds Voorburgwal 197, 1012EX, Amsterdam",,https://bridgesrestaurant.nl,,,,"Th,Fr 12:00-15:00, Sa,Su 13:00-15:00, Mo-Su 18:30-21:00",52.3709275,4.895255,318453914
Indian Spices & Vibes,"Ferdinand Bolstraat 172, 1072LT, Amsterdam",,https://indianspicesandvibes.nl/,,,indian,,52.3516358,4.8911783,332598830
Desa,"Ceintuurbaan 103, 1072EX, Amsterdam",,,,,indonesian,,52.3530404,4.8918487,332642297
Pizza Taxi Da Paolo & Seba,"Ceintuurbaan 121, 1072GA, Amsterdam",,,,,pizza,,52.3531385,4.8925821,332642301
Toko Talaad Thai,"Sarphatipark 18, 1072PA, Amsterdam",,,,,thai,,52.3540322,4.8938587,332661073
Ladybird Fried Chicken,"Sarphatipark 4-H, 1072PA, Amsterdam",,https://www.ladybirdfriedchicken.com/,,,,,52.3543439,4.8936555,332661074
Samba Kitchen,Amsterdam,,https://www.samba-kitchen.nl/,,,brazilian,,52.3527351,4.8895939,332689457
Thai Deum,Amsterdam,,https://www.thaideum.com/,,,thai,,52.3522054,4.8878941,332994756
Wild Sage,"Ceintuurbaan 228-H, 1072GE, Amsterdam",,https://wildsagefoods.nl/,,,greek,,52.3522926,4.8886309,332994768
Golden Chopsticks,"Oude Doelenstraat 1, 1012ED, Amsterdam",,,,,,,52.3717749,4.8963879,363719080
Eethuis Sie-Joe,"Gravenstraat, 1012NM, Amsterdam",,,,,,,52.3742998,4.8919511,364040518
Hotel De Goudfazant,"Aambeeldstraat 10 H, 1021KB, Amsterdam",+31 20 636 5170,https://hoteldegoudfazant.nl/,info@hoteldegoudfazant.nl,,,Mo off; Tu-Su 18:00+,52.3837626,4.9301104,380792649
Natraj,"Transvaalstraat 5, 1092HA, Amsterdam",,,,,indian,,52.355557,4.9274907,393136932
Fuku Ramen,"Ingogostraat 14A, 1092HZ, Amsterdam",+31 6 42608596,https://www.fukuramenamsterdam.com/,,@fuku_ramen_amsterdam,ramen,Th-Sa 18:00-23:00; Su 13:00-19:30,52.3552228,4.9257723,393137999
Rosarium,"Amstelpark 1, 1083HZ, Amsterdam",+31 20 644 4085,https://rosarium.net/,,,,,52.3318651,4.8915964,401830256
La Margarita,"Langebrugsteeg 6, 1012GB, Amsterdam",+31 20 624 0529,https://mexican.nl/,,,mexican,,52.3692724,4.8930721,413449806
La Favola,"Amstelveenseweg 143, 1075VZ, Amsterdam",,,,,italian,,52.3512001,4.85707,413624740
Cafe Maurits,"Hoofddorpplein 1, 1059CV, Amsterdam",,https://www.cafemaurits.nl,,,international,We-Th 17:30-22:00; Fr-Su 09:00-23:30,52.3508915,4.850327,413624747
Dizinghof,"Heemstedestraat 18, 1058NM, Amsterdam",,,,,grill,,52.3517667,4.8486443,413624761
Lokaal van de Stad,"Heemstedestraat 68, 1058NP, Amsterdam",+31 6 18318558,https://www.lokaalvandestad.nl,lokaalvandestad@gmail.com,,regional,"Su-Tu 08:30-01:00; Fr,Sa 08:30-02:00",52.3517075,4.8461606,413624765
Perla di Roma,"Johan Huizingalaan 177, 1065HZ, Amsterdam",+31 20 615 9074,https://www.perladiroma.com,info@perladiroma.com,,italian,Mo-Su 17:00-23:00,52.3584417,4.8276799,413642346
Roos Steakhouse,"Johan Huizingalaan 174, 1065JH, Amsterdam",+31 20 617 6268,,,,steak_house,,52.3585173,4.8268358,413642348
Du Maroc,"Comeniusstraat 513, 1065BX, Amsterdam",+31 20 617 3408,https://www.restaurantdumaroc.nl,,,grill;moroccan,Tu-Sa 11:00-23:00; Su 12:00-23:00,52.3591448,4.8262917,413642350
de Veranda,"Amstelveenseweg 764, 1081JK, Amsterdam",,https://www.deveranda.nl,,,,,52.3307698,4.8569481,420564566
Betty's,"Rijnstraat 75-HS, 1079GX, Amsterdam",,,,,,,52.3455467,4.9057738,427989087
Happy Corner,"Plantage Middenlaan 30, Amsterdam",,https://www.restauranthappycorner.nl/,,,chinese,,52.3662399,4.9118164,430686827
Agora,Amsterdam,,,,,,,52.3635596,4.911176,432855893
La Place,"Kalverstraat 203, 1012XC, Amsterdam",,https://www.laplace.com/,,,,,52.3676426,4.8924135,432862171
Pasouk,Amsterdam,,,,,thai,,52.3937619,4.9138248,437009593
Vatten Ramen,"Plantage Kerklaan 28, Amsterdam",,https://www.instagram.com/vattenramen/,,@vattenramen,ramen,,52.3660271,4.9116177,440009812
Jinso,"Johan Cruijff Boulevard 155, 1101EJ, Amsterdam",+31 20 697 4138,https://www.jinso.nl/,info@jinso.nl,,chinese,Mo-Su 11:30-24:00,52.3127382,4.944758,440356406
Pancakes Amsterdam,"Prinsengracht 277, 1016GW, Amsterdam",,https://pancakes.amsterdam/,,,pancakes,"Mo-Su,PH 09:00-17:00",52.3748634,4.8838557,440431999
Soenda Kelapa,"Utrechtsestraat 89-H, 1017VK, Amsterdam",+31 20 627 9416,https://www.soendakelapa.com,,,indonesian,We-Mo 18:00-23:00,52.3630054,4.8987669,447561385
Kramer,"Herengracht 515, 1017BV, Amsterdam",+31 20 320 8175,https://cafekramer.nl/,,,asian,,52.3654467,4.8926577,447564209
Jasmine,"Zeedijk 119, 1012AW, Amsterdam",+31 20 280 7841,https://padthai.world/,,,thai,Mo-Su 12:00-23:00,52.3735356,4.9003082,447566444
Bollywood Indian Restaurant,Amsterdam,,https://restaurantbollywood.nl/en/,,,indian,,52.3639694,4.8844033,447815483
Puri Mas Indonesisch Restaurant,"Lange Leidsedwarsstraat 37, 1017NG, Amsterdam",,https://www.purimas.nl/,,,indonesian,Tu-Su 17:00-22:30,52.3641036,4.8845382,447815843
Tashi Deleg,"Utrechtsestraat 65, 1017VJ, Amsterdam",+31 20 620 6624,http://tashideleg.nl/,,,tibetan;indonesian,Mo-Su 14:00-22:30,52.3634907,4.8985572,461796303
Wissenkerke-Sloterdijk,"Radarweg 236, 1043NV, Amsterdam",,https://www.wissenkerke-sloterdijk.nl/,,,,Mo-Fr 11:30-22:00,52.3871186,4.835454,465504865
Bir Tat,"Bos en Lommerweg 242, 1055EJ, Amsterdam",+31 20 684 7666,https://www.birtat.nl,,,shoarma,Mo-Su 09:00-01:00,52.3786322,4.8483173,465504873
Brasserie Keyzer,"Van Baerlestraat 96, 1071BB, Amsterdam",+31 20 675 1866,https://brasseriekeyzer.nl,,,,,52.3568126,4.8792088,469633864
Small Talk,"Van Baerlestraat 52, 1071BA, Amsterdam",,,,,,,52.3579755,4.878408,473854628
La Madonnina,"Rembrandtplein 12A-14, 1017CV, Amsterdam",,,,,italian,,52.3658484,4.8955024,474752594
Bunga Mawar,"Zeedijk 41, 1012AR, Amsterdam",,,,,indonesian,,52.3753852,4.901161,475208653
De Portugees,"Zeedijk 39, 1012AR, Amsterdam",,http://www.deportugees.com,,,portuguese,,52.3754456,4.9011363,475209057
Pancakes Amsterdam,"Berenstraat 38, 1016GH, Amsterdam",,https://www.pancakesamsterdam.com,,,pancake,Mo-Su 09:00-18:00,52.3704712,4.8832353,475217092
Bella Vita,"Burgemeester De Vlugtlaan 188, 1063BS, Amsterdam",,,,,italian,,52.3815999,4.8220792,476027647
The Pancake Bakery,"Prinsengracht 191, 1015DS, Amsterdam",+31 20 625 1333,https://www.pancake.nl,,,pancake,Mo-Su 09:00-21:30,52.3775885,4.8862637,493987547
Lunch & Dinner,"Nieuwezijds Voorburgwal 119, 1012RH, Amsterdam",,,,,,,52.3743286,4.8915885,495318435
Seafood Grill,Amsterdam,,,,,,,52.3744155,4.8916595,495320684
LM,Amsterdam,,,,,,,52.356045,4.8885043,497165622
ISSHIN,Amsterdam,,https://www.isshin-amsterdam.nl,,,japanese,,52.3570377,4.8886451,497166929
Otaru,"Frans Halsstraat 2, 1072BR, Amsterdam",+31 20 670 8972,https://www.otaru.nl/,info@otaru.nl,,japanese,,52.3584175,4.8888704,497166933
Sama Sebo,"Pieter Cornelisz. Hooftstraat 27, 1071BL, Amsterdam",,https://www.samasebo.nl/,,,indonesian,"Mo-Sa 12:00-15:00, 17:00+; PH off",52.3606764,4.8831414,497169603
Maxies,Amsterdam,,,,,,,52.3600875,4.8797621,497169607
One Dim Sum,"Overtoom 109, Amsterdam",,,,,,,52.3622867,4.8742446,497171384
Hard Rock Cafe,"Max Euweplein 57, 1017MA, Amsterdam",+31 20 888 1358,https://www.hardrockcafe.com/location/amsterdam/,,,american,"Mo-Th 09:00-24:00, Fr,Sa 09:00-01:00",52.3621869,4.8833077,497179291
Hosokawa,Amsterdam,,,,,japanese,,52.3629202,4.8827502,497179306
Wagamama,Amsterdam,+31 20 528 7778,,,,asian,Mo-Su 12:00-22:00,52.3625079,4.8831541,497180853
Maximus Steak House,Amsterdam,+31 20 626 5300,https://maximussteakhouse.com/,info@maximussteakhouse.com,,,Mo-Su 12:00-23:00,52.3622945,4.8834726,497180854
De Balie,Amsterdam,,,,,,"Tu-Su 09:00-23:00, Fr 09:00-01:00, Sa 10:00-01:00",52.36312,4.883101,497182332
Anmol,Amsterdam,,,,,indian,,52.3622297,4.8759194,497194300
de Joffers,"Willemsparkweg 163-H, 1071GZ, Amsterdam",+31 20 673 0360,https://brasseriedejoffers.nl/,info@brasseriedejoffers.nl,@brasseriedejoffers,,Mo-Su 08:00-20:00,52.3558535,4.8710042,500330846
Van Dam,Amsterdam,,,,,,,52.3556729,4.8707638,500331309
Miss Saigon,Amsterdam,,,,,chinese,,52.3659848,4.8728348,504265778
De Ysbreeker,"Weesperzijde 23, 1091EC, Amsterdam",,,,,,"Mo-Th,Su 08:00-01:00; Fr-Sa 08:00-02:00",52.3574883,4.9068874,506494134
Pizza Project,"Wilhelminastraat 153, Amsterdam",,,,,pizza,,52.360962,4.8611643,507092570
Number 1,"Mosplein 1, 1031AA, Amsterdam",,,,,pizza,,52.3910141,4.9107228,507913482
De Haven van Texel,Amsterdam,,,,,,,52.3757889,4.9002791,534025075
Trees,"Zeedijk 14, Amsterdam",,,,,,,52.3758329,4.9004544,534025270
Kam Yin,"Warmoesstraat 6, 1012JD, Amsterdam",+31 20 625 3115,https://www.kamyin.nl/,,,,Mo-Su 12:00-00:00,52.3762358,4.8994544,534025468
Eenvistweevis,Amsterdam,,,,,,,52.3708182,4.9117106,539128135
Ibericus Amsterdam,"Haarlemmerstraat 93, 1013EM, Amsterdam",+31 20 223 6573,https://www.facebook.com/IbericusAmsterdam,,,spanish,Mo-Th 10:00-18:00; Fr-Sa 10:00-19:00; Su 11:00-17:00,52.3805158,4.8908642,558302962
Tom Yum Kung,Amsterdam,,,,,thai,Mo-Su 17:00-22:00,52.3690154,4.9217091,565677299
La Oliva Pintxos y Vinos,"Egelantiersstraat 122-124, 1015PR, Amsterdam",+31 20 320 4316,https://www.laoliva.nl,,@laoliva_amsterdam,spanish,Mo-Su 12:00-22:00,52.3766957,4.8822395,566346908
Two Chefs Bar,"Hugo de Grootplein 7-11, 1052KV, Amsterdam",,https://bar.twochefsbrewing.com/,,,,,52.3743481,4.8730425,568090219
San Lok,Amsterdam,,,,,chinese,,52.3531616,4.826975,571185748
Suvarnadhum,Amsterdam,,,,,thai,,52.3540339,4.8270284,571185753
Porto Marina,Amsterdam,,,,,seafood,,52.3564035,4.8268513,571185758
Abina,"Amsterdamseweg 193, 1182GW, Amstelveen",,https://abina.nl,,,regional,"Mo-Th 06:00-24:00, Fr 06:00-02:00, Sa 08:00-02:00, Su 08:00-24:00",52.3114077,4.8465739,582753958
Pane e Vino,"Amsterdamseweg 172, 1182HK, Amstelveen",,,,,italian,,52.3109584,4.8471397,582753959
Nyonya,"Kloveniersburgwal 38-H, 1012CW, Amsterdam",+31 20 422 2447,https://www.nyonyamalaysiarest.nl,,,malaysian,Th-Su 12:00-21:00,52.371321,4.8986226,582834916
De Jonge Dikkert,"Amsterdamseweg 104-a, 1182HG, Amstelveen",+31 20 643 3333,https://www.jongedikkert.nl,,,french,,52.3081616,4.8472259,592009060
Café Cook,Amsterdam,,,,,,,52.3712507,4.8526367,595264885
Alexandros,"Kostverlorenhof 48, 1183HG, Amstelveen",,https://www.restaurantalexandros.nl,,,greek,,52.3131613,4.8753934,599622997
Yu Woah,"Kostverlorenhof 56, 1183HG, Amstelveen",,http://www.yuwoah-amstelveen.nl,,,chinese,,52.313081,4.8749428,599623014
The Red Sun,Amsterdam,,,,,,,52.3460697,4.8662367,603155604
Quartier Sud,Amsterdam,,,,,,,52.3460319,4.8668971,603155615
Café Luxembourg,"Spui 24, 1012XA, Amsterdam",+31 20 620 6264,https://www.luxembourg.nl,,,dutch,"Su-Th 09:00-24:00, Fr-Sa 09:00-01:00",52.3686609,4.8887034,603364812
Ponte Arcari,Amsterdam,,,,,,,52.3645714,4.8961886,604435945
De Belhamel,Amsterdam,,,,,regional,12:00-16:00; 18:00-22:00,52.3794471,4.8921366,622472303
Neva,Amsterdam,,http://neva.nl,,,,,52.3654316,4.9033085,632110110
Fumi,"Prof. E.M. Meijerslaan 6, 1183AV, Amstelveen",+31 20 3455489,https://fumi-amstelveen.nl/,,,asian,"Tu-Su 12:00-15:00,16:00-22:30",52.3183612,4.8753794,638383976
Golden Garden,"Delflandplein 24-28, 1062HR, Amsterdam",+31 20 617 4342,http://goldengarden.nu/,,,chinese,,52.3498636,4.8397507,667381820
Oleg Pelmeni Bar,"Roetersstraat 10A, 1018WC, Amsterdam",,,,,russian,,52.3636953,4.9105681,679722873
Jen's Bing,"Roetersstraat 4-H, 1018WC, Amsterdam",,https://www.jensbing.nl/,,,asian;bubble_tea,Mo-Su 11:00-20:00,52.3639011,4.9106394,679749862
Aguada,Amsterdam,,,,,Diversen,,52.3637583,4.9105976,679749863
Loetje,"Stationsplein 10, 1012AB, Amsterdam",+31 20 623 3777,https://www.loetje.nl/locaties/amsterdam-centraal/,,@loetje_restaurant,steak_house,"Mo-Th,Su 10:00-22:00; Fr-Sa 10:00-22:30",52.377503,4.9004373,704461695
Brasserie 't Siertje,"Sierplein 2, 1065LM, Amsterdam",+31 20 617 6271,https://brasserietsiertje.nl/,,,,Mo 09:00-18:00; Tu 09:00-18:00; We 09:00-18:00; Th 09:00-18:00; Fr 09:00-18:00; Sa 09:00-17:00; Su off,52.355879,4.8264837,706792079
Boulevard Cafe,Amsterdam,,,,,international,"Tu-Th 12:00-24:00, Fr 12:00-01:00, Sa 14:00-01:00, Su 14:00-23:00",52.3686365,4.9344655,732392347
Cai & Cai,"Borneolaan 515, 1019KP, Amsterdam",+31 20 419 7710,https://caicairestaurant.nl,caicaibv2022@gmail.com,,asian;fusion;sushi;buffet,16:00-22:00; Tu off,52.3713201,4.9401995,734165823
Piccolino,"Lange Leidsedwarsstraat 63, 1017NH, Amsterdam",,https://www.ristorantepiccolino.nl,,,italian,12:00-23:00,52.3636053,4.8852731,737187579
Royal Fook Long,"Hageland 61-69, 1066RD, Amsterdam",+31 20 669 6787,https://royalfooklong.com,,,chinese;sushi,Mo-Su 16:00-22:00,52.3453224,4.8100429,746910425
63 Degrees Foodbar,Amsterdam,,,,,,,52.3527533,4.8479962,761236360
Glatt Kosjer,"Amstelveenseweg 224, 1075XT, Amsterdam",,,,,jewish,,52.3510433,4.8565512,768575159
Meerzicht,"Nieuwemeerdijk 326, 1171NT, Badhoevedorp",,https://www.restaurantmeerzicht.nl/,,,,,52.3261001,4.8172918,782253208
O-Cha,"Binnen Bantammerstraat 1, Amsterdam",+31 20 625 9958,,,,thai,Tu-Su 16:00-22:00,52.3740057,4.901904,806014558
lePita,"Kastelenstraat 265, 1082EG, Amsterdam",+31 20 786 8609,http://www.lepita.nl/lepita/menu2024.jpg,,,arab;deli;mediterranean,Su-Th 11:00-21:00; Fr 11:00-16:00,52.3257181,4.8710603,850735390
Momo,"Hobbemastraat 1, 1071XZ, Amsterdam",+31 20 6717474,https://www.momo-amsterdam.com,,,,,52.3615027,4.8825862,863195537
Cuisine of India,"Binnen Bantammerstraat 9, Amsterdam",,,,,indian,,52.3738722,4.9022134,866385078
Italia Oggi,"Binnen Bantammerstraat 11-H, 1011CH, Amsterdam",+31 6 2180 6400,https://www.italiaoggi.nl,,@explore/locations/1308146/netherlands/amsterdam-netherlands/italia-oggi,italian,Mo-Su 17:00-23:00,52.3738399,4.9022578,866385091
AM Sushi,Amsterdam,,,,,sushi,,52.3497742,4.9035997,916341139
Faa Thai,"Marathonweg 10, 1076TE, Amsterdam",,http://www.faathai.nl,,,thai,,52.3482413,4.8609154,921781904
Tokyo garden,"Burgemeester Rendorpstraat 17, 1064EL, Amsterdam",,https://tokyogarden.nl/,,,japanese,,52.3741582,4.8265868,957593170
Nossa Senhora,"Zeedijk 28, 1012AZ, Amsterdam",,,,,,,52.3754918,4.9008899,958673979
Nel,"Amstelveld 12, 1017JD, Amsterdam",+31 20 626 1199,https://brasserienel.nl,,@brasserienel,,"Su-Tu 10:30-18:00, We-Sa 10:30-01:00",52.3621972,4.8966302,965293083
De Deli,"Plantage Kerklaan 41, Amsterdam",+31 20 354 2669,https://borrl.kitchen/,info@borrl.kitchen,,,Mo-Su 10:00-18:00,52.3670112,4.9120064,976615026
New Dutch,"Prinsengracht 62, 1015DX, Amsterdam",,,,,,We-Mo 09:00-15:00,52.3778982,4.8855738,1020237619
Lalla Rookh,"Wijttenbachstraat 290, 1093JK, Amsterdam",,,,,surinamese,,52.360674,4.9285149,1043896615
R21,"Peperstraat 23, 1011TJ, Amsterdam",,,,,,,52.3715795,4.9077158,1055573894
Babel,"Oosterdokskade 143, Amsterdam",,https://babel.amsterdam/,,,,Mo-Fr 10:00-22:00; Sa-Su 10:00-20:00,52.3758693,4.9081512,1074370472
Plancius,"Plantage Kerklaan 61C, 1018CX, Amsterdam",+31 20 223 6946,https://www.restaurantplancius.nl/,,,international,,52.3678354,4.9127949,1083536032
Bloem,"Entrepotdok 36, 1018AD, Amsterdam",+31 20 3300929,http://www.bloem36.nl,,,,Tu-Su 16:00-23:00,52.3688499,4.9142406,1083536034
van Kerkwijk,"Nes 41, 1012KC, Amsterdam",,https://www.caferestaurantvankerkwijk.nl,,,,,52.3715399,4.8937076,1083659913
Akitsu,"Rozengracht 228-230, 1016SZ, Amsterdam",+31 20 625 3254,https://www.akitsu-amsterdam.com/,,,japanese,We-Su 18:00-11:30,52.3722193,4.8752152,1089777272
Du Monde Bar&Kitchen,"Dorpsstraat 104, Amstelveen",+31 20 345 3366,https://www.grandcafeoudedorp.nl,,,french,,52.300852,4.846216,1100008576
d'Vijff Vlieghen,"Spuistraat 294-302, 1012VX, Amsterdam",,http://www.d-vijffvlieghen.com,,,dutch,,52.369578,4.8886397,1103394120
Oma,Amsterdam,,,,,,,52.3630587,4.8851836,1144504757
1900,"Hogeweg 48, 1098CE, Amsterdam",+31 20 362 6329,https://barrestaurant1900.nl/,,@barrestaurant1900,,"Tu-Th,Su 11:00-23:00; Fr-Sa 11:00-24:00",52.3548265,4.9331684,1165900114
De Pizzabakkers,"Copernicusstraat 49, 1098JE, Amsterdam",+31 85 438 5999,https://www.depizzabakkers.nl/vestigingen/amsterdam-copernicusstraat/,,,pizza,Mo-Su 16:00-21:00,52.3553428,4.9377539,1167909861
Maria,"Zeedijk 55, 1012AS, Amsterdam",,,,,,,52.3750398,4.9011141,1174575275
Little Thai Prince,"Zeedijk 33, Amsterdam",,,,,thai,,52.3755716,4.9010328,1174575278
Brasserie Flo,"Amstelstraat 9, 1017DA, Amsterdam",+31 20 890 4757,https://www.floamsterdam.nl,,,french,,52.3663295,4.8982785,1221258139
Krua Thai,Amsterdam,,https://kruathai.nl/,,,thai,,52.3681585,4.8980317,1221312739
Kosmos,"De Wittenkade 192, 1051AP, Amsterdam",+31 20 400 3341,https://www.kosmosamsterdam.nl/,,,,Wed-Thu 12:00-00:00; Fr-Sat 12:00-01:00; Su 12:00-22:00,52.3812414,4.8734487,1222424006
Toscana,"Haarlemmerdijk 176, 1013HL, Amsterdam",+31 20 334 6293,http://www.restaurant-toscana.nl/,,,pizza,Mo-Th 16:00-23:00; Fr-Su 12:00-23:00,52.3841202,4.8848361,1222424026
a Volo!,"Haarlemmerdijk 188-H, 1013JK, Amsterdam",+31 20 337 7431,https://a-volo.nl/,,,italian,We-Mo 12:00-18:00,52.3842507,4.8845468,1222424034
Café Nassau,"De Wittenkade 105A, 1052AG, Amsterdam",+31 20 684 3562,https://cafenassau.com/,info@cafenassau.com,@cafenassau,,"Mo 16:00-22:00; We,Th 16:00-23:00; Fr,Sa 12:00-23:00; Su 12:00-23:00",52.3829251,4.8771881,1222424093
Namaskar,"Haarlemmerstraat 47, Amsterdam",,http://www.namaskaramsterdam.nl/,,,indian,,52.3796886,4.8931984,1223236794
Rangoli,"Haarlemmerstraat 11, Amsterdam",,http://www.rangoli.nl/,,,indian,,52.3794045,4.8937259,1223236797
Il Tramezzino,"Haarlemmerstraat 79, Amsterdam",,https://iltramezzinoamsterdam.nl/,,@iltramezzinoamsterdam,italian,"Mo,We-Su 09:00-18:00",52.3803114,4.8914837,1223236843
Bistrot Neuf,"Haarlemmerstraat 9, 1013EH, Amsterdam",+31 20 400 3210,https://www.bistrotneuf.nl/,,,french,Mo-Th 16:00-24:00; Fr-Su 12:00-24:00,52.3793782,4.8937715,1223236858
San Pedro,"Haarlemmerstraat 83, Amsterdam",,https://www.sanpedro.nl/,,,steak,,52.380348,4.8913443,1223236878
Salsa Shop,"Haarlemmerstraat 97, 1013EM, Amsterdam",,,,,mexican,,52.3805781,4.8907284,1223236894
Soup En Zo,"Haarlemmerstraat 87, Amsterdam",,https://soupenzo.nl,,@soupenzo,soup;salad,Mo-Fr 11:00-20:00; Sa 11:00-19:00; Su 12:00-19:00,52.3803846,4.891205,1223236895
